

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
10.420, 0.46, 1, , 0.781, 1
10.440, 0.41, 1, , 0.783, 1
10.460, 0.43, 1, , 0.784, 1
10.480, 0.46, 1, , 0.787, 1
10.500, 0.41, 1, , 0.788, 1
10.520, 0.42, 1, , 0.789, 1
10.540, 0.44, 1, , 0.791, 1
10.560, 0.41, 1, , 0.793, 1
10.580, 0.43, 1, , 0.794, 1
10.600, 0.44, 1, , 0.797, 1
10.620, 0.42, 1, , 0.799, 1
10.640, 0.43, 1, , 0.799, 1
10.660, 0.44, 1, , 0.801, 1
10.680, 0.42, 1, , 0.803, 1
10.700, 0.42, 1, , 0.804, 1
10.720, 0.45, 1, , 0.806, 1
10.740, 0.43, 1, , 0.808, 1
10.760, 0.43, 1, , 0.809, 1
10.780, 0.45, 1, , 0.811, 1
10.800, 0.44, 1, , 0.813, 1
10.820, 0.44, 1, , 0.815, 1
10.840, 0.46, 1, , 0.816, 1
10.860, 0.43, 1, , 0.818, 1
10.880, 0.42, 1, , 0.819, 1
10.900, 0.45, 1, , 0.821, 1
10.920, 0.45, 1, , 0.823, 1
10.940, 0.44, 1, , 0.825, 1
10.960, 0.43, 1, , 0.826, 1
10.980, 0.47, 1, , 0.828, 1
11.000, 0.45, 1, , 0.830, 1
11.020, 0.44, 1, , 0.831, 1
11.040, 0.44, 1, , 0.833, 1
11.060, 0.46, 1, , 0.835, 1
11.080, 0.45, 1, , 0.837, 1
11.100, 0.50, 1, , 0.838, 1
11.120, 0.45, 1, , 0.840, 1
11.140, 0.44, 1, , 0.841, 1
11.160, 0.45, 1, , 0.842, 1
11.180, 0.47, 1, , 0.844, 1
11.200, 0.44, 1, , 0.847, 1
11.220, 0.47, 1, , 0.848, 1
11.240, 0.46, 1, , 0.849, 1
11.260, 0.45, 1, , 0.851, 1
11.280, 0.45, 1, , 0.853, 1
11.300, 0.46, 1, , 0.854, 1
11.320, 0.48, 1, , 0.857, 1
11.340, 0.44, 1, , 0.858, 1
11.360, 0.46, 1, , 0.859, 1
11.380, 0.46, 1, , 0.862, 1
11.400, 0.48, 1, , 0.863, 1
11.420, 0.45, 1, , 0.864, 1
11.440, 0.46, 1, , 0.866, 1
11.460, 0.44, 1, , 0.868, 1
11.480, 0.46, 1, , 0.870, 1
11.500, 0.43, 1, , 0.871, 1
11.520, 0.48, 1, , 0.872, 1
11.540, 0.45, 1, , 0.875, 1
11.560, 0.44, 1, , 0.876, 1
11.580, 0.45, 1, , 0.878, 1
11.600, 0.47, 1, , 0.880, 1
11.620, 0.44, 1, , 0.882, 1
11.640, 0.47, 1, , 0.883, 1
11.660, 0.44, 1, , 0.885, 1
11.680, 0.46, 1, , 0.886, 1
11.700, 0.44, 1, , 0.887, 1
11.720, 0.45, 1, , 0.890, 1
11.740, 0.44, 1, , 0.891, 1
11.760, 0.45, 1, , 0.893, 1
11.780, 0.46, 1, , 0.894, 1
11.800, 0.48, 1, , 0.897, 1
11.820, 0.46, 1, , 0.898, 1
11.840, 0.47, 1, , 0.900, 1
11.860, 0.47, 1, , 0.902, 1
11.880, 0.43, 1, , 0.903, 1
11.900, 0.48, 1, , 0.904, 1
11.920, 0.46, 1, , 0.907, 1
11.940, 0.47, 1, , 0.908, 1
11.960, 0.46, 1, , 0.909, 1
11.980, 0.47, 1, , 0.911, 1
12.000, 0.43, 1, , 0.913, 1
12.020, 0.47, 1, , 0.914, 1
12.040, 0.44, 1, , 0.916, 1
12.060, 0.50, 1, , 0.918, 1
12.080, 0.46, 1, , 0.920, 1
12.100, 0.48, 1, , 0.921, 1
12.120, 0.46, 1, , 0.923, 1
12.140, 0.47, 1, , 0.925, 1
12.160, 0.47, 1, , 0.926, 1
12.180, 0.47, 1, , 0.928, 1
12.200, 0.46, 1, , 0.930, 1
12.220, 0.44, 1, , 0.931, 1
12.240, 0.48, 1, , 0.932, 1
12.260, 0.45, 1, , 0.935, 1
12.280, 0.46, 1, , 0.936, 1
12.300, 0.44, 1, , 0.937, 1
12.320, 0.48, 1, , 0.939, 1
12.340, 0.47, 1, , 0.942, 1
12.360, 0.46, 1, , 0.943, 1
12.380, 0.50, 1, , 0.945, 1
12.400, 0.46, 1, , 0.947, 1
12.420, 0.46, 1, , 0.948, 1
12.440, 0.49, 1, , 0.950, 1
12.460, 0.47, 1, , 0.952, 1
12.480, 0.47, 1, , 0.953, 1
12.500, 0.48, 1, , 0.954, 1
12.520, 0.47, 1, , 0.957, 1
12.540, 0.46, 1, , 0.958, 1
12.560, 0.47, 1, , 0.959, 1
12.580, 0.51, 1, , 0.961, 1
