

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
12.060, 10.19, N/A, , 0.991, 1
12.080, 10.19, N/A, , 0.993, 1
12.100, 10.23, N/A, , 0.994, 1
12.120, 10.23, N/A, , 0.996, 1
12.140, 10.26, N/A, , 0.997, 1
12.160, 10.27, N/A, , 0.999, 1
12.180, 10.29, N/A, , 1.001, 1
12.200, 10.31, N/A, , 1.003, 1
12.220, 10.34, N/A, , 1.004, 1
12.240, 10.36, N/A, , 1.006, 1
12.260, 10.40, N/A, , 1.008, 1
12.280, 10.40, N/A, , 1.009, 1
12.300, 10.41, N/A, , 1.011, 1
12.320, 10.48, N/A, , 1.013, 1
12.340, 10.45, N/A, , 1.015, 1
12.360, 10.48, N/A, , 1.016, 1
12.380, 10.47, N/A, , 1.018, 1
12.400, 10.54, N/A, , 1.019, 1
12.420, 10.52, N/A, , 1.020, 1
12.440, 10.56, N/A, , 1.022, 1
12.460, 10.56, N/A, , 1.024, 1
12.480, 10.60, N/A, , 1.025, 1
12.500, 10.59, N/A, , 1.027, 1
12.520, 10.63, N/A, , 1.029, 1
